

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.017  000.017: --- NVIM STARTING ---
000.142  000.125: event init
000.330  000.187: early init
000.895  000.565: locale set
000.959  000.064: init first window
001.626  000.667: inits 1
001.647  000.021: window checked
001.652  000.004: parsing arguments
002.233  000.084  000.084: require('vim.shared')
002.370  000.048  000.048: require('vim._meta')
002.372  000.135  000.087: require('vim._editor')
002.374  000.272  000.053: require('vim._init_packages')
002.376  000.453: init lua interpreter
004.432  002.057: expanding arguments
004.519  000.087: inits 2
004.866  000.347: init highlight
004.868  000.002: waiting for UI
008.142  003.274: done waiting for UI
008.152  000.011: init screen for UI
008.348  000.196: init default mappings
008.366  000.019: init default autocommands
012.188  000.105  000.105: sourcing /usr/local/Cellar/neovim/0.8.1/share/nvim/runtime/ftplugin.vim
012.728  000.052  000.052: sourcing /usr/local/Cellar/neovim/0.8.1/share/nvim/runtime/indent.vim
014.424  000.338  000.338: require('catppuccin')
015.592  001.530  001.191: sourcing /Users/yoram/.local/share/nvim/site/pack/packer/start/catppuccin/colors/catppuccin.vim
015.866  000.228  000.228: require('yoramdelangen.startup')
016.070  000.200  000.200: require('yoramdelangen.autocmds')
016.356  000.011  000.011: require('vim.keymap')
016.380  000.307  000.297: require('yoramdelangen.keymappings')
022.003  000.577  000.577: require('packer.util')
022.092  004.579  004.002: require('packer')
022.812  000.717  000.717: require('packer.log')
024.072  000.524  000.524: require('packer.async')
025.106  000.467  000.467: require('packer.result')
025.110  001.035  000.568: require('packer.jobs')
025.116  002.265  000.706: require('packer.plugin_utils')
025.729  000.589  000.589: require('packer.snapshot')
026.281  009.899  001.749: require('yoramdelangen.packer')
029.431  000.503  000.503: require('vim.treesitter.language')
029.441  001.588  001.085: require('vim.treesitter.query')
032.699  000.710  000.710: require('vim.treesitter.languagetree')
032.743  001.337  000.627: require('vim.treesitter')
032.887  002.320  000.983: require('nvim-treesitter.parsers')
033.339  000.449  000.449: require('nvim-treesitter.utils')
033.348  003.391  000.621: require('nvim-treesitter.ts_utils')
033.353  003.910  000.519: require('nvim-treesitter.tsrange')
033.698  000.343  000.343: require('nvim-treesitter.caching')
033.709  006.505  000.664: require('nvim-treesitter.query')
033.725  007.277  000.771: require('nvim-treesitter.configs')
035.162  000.457  000.457: require('nvim-treesitter.info')
035.695  000.529  000.529: require('nvim-treesitter.shell_command_selectors')
035.727  001.898  000.913: require('nvim-treesitter.install')
043.333  017.048  007.872: require('yoramdelangen.treesitter')
044.416  000.413  000.413: require('telescope._extensions')
044.421  000.878  000.464: require('telescope')
044.820  000.398  000.398: require('bufdel')
045.643  000.394  000.394: require('telescope.state')
048.127  000.487  000.487: require('plenary.bit')
048.488  000.357  000.357: require('plenary.functional')
048.517  000.016  000.016: require('ffi')
048.537  001.717  000.856: require('plenary.path')
048.544  002.168  000.451: require('plenary.strings')
048.914  000.369  000.369: require('telescope.deprecated')
050.504  000.560  000.560: require('plenary.log')
050.584  000.998  000.439: require('telescope.log')
051.931  000.651  000.651: require('plenary.job')
051.939  001.353  000.702: require('telescope.utils')
051.948  003.031  000.680: require('telescope.sorters')
052.001  000.042  000.042: require('vim.inspect')
052.520  000.008  000.008: require('vim.F')
054.296  008.650  003.032: require('telescope.config')
054.301  009.478  000.434: require('telescope.actions.state')
057.244  000.783  000.783: require('fzf_lib')
057.251  001.322  000.539: require('telescope._extensions.fzf')
060.637  000.566  000.566: require('plenary.window.border')
060.960  000.320  000.320: require('plenary.window')
061.329  000.330  000.330: require('plenary.popup.utils')
061.338  001.847  000.632: require('plenary.popup')
061.807  000.467  000.467: require('telescope.pickers.scroller')
062.309  000.500  000.500: require('telescope.actions.utils')
063.452  000.522  000.522: require('telescope.actions.mt')
063.475  001.164  000.642: require('telescope.actions.set')
064.379  000.460  000.460: require('telescope.config.resolve')
064.382  000.905  000.445: require('telescope.pickers.entry_display')
064.752  000.368  000.368: require('telescope.from_entry')
064.870  006.663  001.412: require('telescope.actions')
066.410  001.091  001.091: require('telescope.make_entry')
068.430  000.297  000.297: require('plenary.tbl')
068.434  000.643  000.346: require('plenary.vararg.rotate')
068.436  000.940  000.296: require('plenary.vararg')
068.727  000.290  000.290: require('plenary.errors')
068.731  001.589  000.359: require('plenary.async.async')
070.077  000.328  000.328: require('plenary.async.structs')
070.083  000.708  000.380: require('plenary.async.control')
070.088  001.051  000.343: require('plenary.async.util')
070.089  001.356  000.305: require('plenary.async.tests')
070.091  003.272  000.327: require('plenary.async')
070.093  003.680  000.408: require('telescope.finders.async_static_finder')
071.210  000.293  000.293: require('plenary.class')
071.220  000.758  000.466: require('telescope._')
071.222  001.128  000.370: require('telescope.finders.async_oneshot_finder')
071.572  000.348  000.348: require('telescope.finders.async_job_finder')
071.576  006.704  000.457: require('telescope.finders')
073.039  000.389  000.389: require('telescope.debounce')
073.486  000.444  000.444: require('telescope.mappings')
073.868  000.379  000.379: require('telescope.pickers.highlights')
074.199  000.329  000.329: require('telescope.pickers.window')
074.971  000.386  000.386: require('telescope.algos.linked_list')
074.974  000.773  000.387: require('telescope.entry_manager')
075.300  000.324  000.324: require('telescope.pickers.multi')
075.314  003.737  001.097: require('telescope.pickers')
076.010  000.346  000.346: require('telescope.previewers.previewer')
076.658  000.646  000.646: require('telescope.previewers.term_previewer')
078.550  000.291  000.291: require('plenary.context_manager')
079.348  000.403  000.403: require('nvim-treesitter.statusline')
079.697  000.348  000.348: require('nvim-treesitter.query_predicates')
079.700  001.147  000.396: require('nvim-treesitter')
079.704  001.883  000.445: require('telescope.previewers.utils')
081.629  001.924  001.924: require('plenary.filetype')
082.693  001.060  001.060: require('plenary.scandir')
082.822  006.161  001.294: require('telescope.previewers.buffer_previewer')
082.827  007.511  000.358: require('telescope.previewers')
083.204  000.375  000.375: require('telescope._extensions.repo.autocmd_lcd')
083.604  000.397  000.397: require('telescope._extensions.repo.utils')
083.944  000.338  000.338: require('telescope._extensions.repo.list')
084.269  000.323  000.323: require('telescope._extensions.repo.cached_list')
084.576  000.306  000.306: require('telescope._extensions.repo.config')
084.586  026.940  000.588: require('telescope._extensions.repo.main')
084.589  027.331  000.391: require('telescope._extensions.repo')
088.110  003.190  003.190: require('telescope-emoji')
088.114  003.521  000.331: require('telescope._extensions.emoji')
089.545  000.414  000.414: require('telescope._extensions.file_browser.utils')
089.620  001.172  000.758: require('telescope._extensions.file_browser.actions')
090.440  000.428  000.428: require('telescope._extensions.file_browser.make_entry')
090.513  000.891  000.463: require('telescope._extensions.file_browser.finders')
090.851  000.336  000.336: require('telescope._extensions.file_browser.picker')
091.223  000.370  000.370: require('telescope._extensions.file_browser.config')
091.225  003.108  000.339: require('telescope._extensions.file_browser')
092.172  000.198  000.198: require('harpoon.utils')
092.376  000.202  000.202: require('harpoon.dev')
093.155  001.455  001.056: require('harpoon')
